Ê±¼ä,Ö¸Áî,·´À¡¦
0.000322,40.0,11.44800201
0.000323,40.0,11.4880988
0.000324,40.0,11.52818221
0.000325,40.0,11.56825223
0.000326,40.0,11.60830889
0.000327,40.0,11.64835217
0.000328,40.0,11.68838209
0.000329,40.0,11.72839864
0.00033,40.0,11.76840183
0.000331,40.0,11.80839167
0.000332,40.0,11.84836817
0.000333,40.0,11.88833131
0.000334,40.0,11.92828112
0.000335,40.0,11.96821759
0.000336,40.0,12.00814073
0.000337,40.0,12.04805054
0.000338,40.0,12.08794702
0.000339,40.0,12.12783019
0.00034,40.0,12.16770004
0.000341,40.0,12.20755659
0.000342,40.0,12.24739982
0.000343,40.0,12.28722976
0.000344,40.0,12.32704639
0.000345,40.0,12.36684974
0.000346,40.0,12.40663979
0.000347,40.0,12.44641656
0.000348,40.0,12.48618005
0.000349,40.0,12.52593027
0.00035,40.0,12.56566721
0.000351,40.0,12.60539089
0.000352,40.0,12.6451013
0.000353,40.0,12.68479846
0.000354,40.0,12.72448236
0.000355,40.0,12.76415301
0.000356,40.0,12.80381041
0.000357,40.0,12.84345457
0.000358,40.0,12.8830855
0.000359,40.0,12.92270319
0.00036,40.0,12.96230766
0.000361,40.0,13.0018989
0.000362,40.0,13.04147692
0.000363,40.0,13.08104172
0.000364,40.0,13.12059331
0.000365,40.0,13.1601317
0.000366,40.0,13.19965688
0.000367,40.0,13.23916887
0.000368,40.0,13.27866766
0.000369,40.0,13.31815326
0.00037,40.0,13.35762567
0.000371,40.0,13.39708491
0.000372,40.0,13.43653097
0.000373,40.0,13.47596385
0.000374,40.0,13.51538357
0.000375,40.0,13.55479012
0.000376,40.0,13.59418351
0.000377,40.0,13.63356374
0.000378,40.0,13.67293083
0.000379,40.0,13.71228476
0.00038,40.0,13.75162556
0.000381,40.0,13.79095321
0.000382,40.0,13.83026774
0.000383,40.0,13.86956913
0.000384,40.0,13.90885739
0.000385,40.0,13.94813254
0.000386,40.0,13.98739456
0.000387,40.0,14.02664348
0.000388,40.0,14.06587928
0.000389,40.0,14.10510198
0.00039,40.0,14.14431158
0.000391,40.0,14.18350809
0.000392,40.0,14.2226915
0.000393,40.0,14.26186182
0.000394,40.0,14.30101906
0.000395,40.0,14.34016323
0.000396,40.0,14.33538006
0.000397,40.0,14.33059845
0.000398,40.0,14.32581839
0.000399,40.0,14.32103988
0.0004,40.0,14.31626292
0.000401,40.0,14.31148752
0.000402,40.0,14.30671366
0.000403,40.0,14.30194136
0.000404,40.0,14.2971706
0.000405,40.0,14.2924014
0.000406,40.0,14.28763374
0.000407,40.0,14.28286763
0.000408,40.0,14.27810307
0.000409,40.0,14.31725431
0.00041,40.0,14.35639247
0.000411,40.0,14.39551756
0.000412,40.0,14.43462959
0.000413,40.0,14.47372854
0.000414,40.0,14.51281444
0.000415,40.0,14.55188728
0.000416,40.0,14.59094707
0.000417,40.0,14.62999381
0.000418,40.0,14.66902751
0.000419,40.0,14.70804817
0.00042,40.0,14.7470558
0.000421,40.0,14.7860504
0.000422,40.0,14.82503197
0.000423,40.0,14.86400051
0.000424,40.0,14.90295604
0.000425,40.0,14.94189856
0.000426,40.0,14.98082807
0.000427,40.0,15.01974457
0.000428,40.0,15.05864807
0.000429,40.0,15.09753857
0.00043,40.0,15.13641609
0.000431,40.0,15.17528061
0.000432,40.0,15.21413215
0.000433,40.0,15.25297071
0.000434,40.0,15.29179629
0.000435,40.0,15.33060891
0.000436,40.0,15.36940855
0.000437,40.0,15.40819524
0.000438,40.0,15.44696896
0.000439,40.0,15.48572973
0.00044,40.0,15.52447755
0.000441,40.0,15.56321243
0.000442,40.0,15.60193436
0.000443,40.0,15.64064335
0.000444,40.0,15.67933942
0.000445,40.0,15.71802255
0.000446,40.0,15.75669275
0.000447,40.0,15.79535004
0.000448,40.0,15.83399441
0.000449,40.0,15.87262587
0.00045,40.0,15.91124442
0.000451,40.0,15.94985006
0.000452,40.0,15.98844281
0.000453,40.0,16.02702265
0.000454,40.0,16.06558961
0.000455,40.0,16.10414368
0.000456,40.0,16.14268487
0.000457,40.0,16.18121318
0.000458,40.0,16.21972861
0.000459,40.0,16.25823117
0.00046,40.0,16.29672087
0.000461,40.0,16.3351977
0.000462,40.0,16.37366168
0.000463,40.0,16.4121128
0.000464,40.0,16.45055107
0.000465,40.0,16.4889765
0.000466,40.0,16.52738909
0.000467,40.0,16.56578884
0.000468,40.0,16.60417575
0.000469,40.0,16.64254984
0.00047,40.0,16.6809111
0.000471,40.0,16.71925954
0.000472,40.0,16.75759517
0.000473,40.0,16.79591798
0.000474,40.0,16.83422798
0.000475,40.0,16.87252518
0.000476,40.0,16.91080959
0.000477,40.0,16.94908119
0.000478,40.0,16.98734001
0.000479,40.0,17.02558603
0.00048,40.0,17.06381928
0.000481,40.0,17.10203974
0.000482,40.0,17.14024743
0.000483,40.0,17.17844235
0.000484,40.0,17.2166245
0.000485,40.0,17.25479389
0.000486,40.0,17.29295053
0.000487,40.0,17.3310944
0.000488,40.0,17.36922553
0.000489,40.0,17.40734391
0.00049,40.0,17.44544956
0.000491,40.0,17.48354246
0.000492,40.0,17.52162263
0.000493,40.0,17.55969007
0.000494,40.0,17.59774479
0.000495,40.0,17.63578678
0.000496,40.0,17.6299018
0.000497,40.0,17.62401874
0.000498,40.0,17.61813758
0.000499,40.0,17.61225834
0.0005,40.0,17.606381
0.000501,40.0,17.60050558
0.000502,40.0,17.59463206
0.000503,40.0,17.58876044
0.000504,40.0,17.58289074
0.000505,40.0,17.57702294
0.000506,40.0,17.57115705
0.000507,40.0,17.56529306
0.000508,40.0,17.55943097
0.000509,40.0,17.59748504
0.00051,40.0,17.6355264
