time,id_command,id_feedback,iq_command,iq_feedback
0.000282,0,0.000297531,40,10.40780618
0.000283,0,0.000301886,40,10.44825057
0.000284,0,0.000306289,40,10.48868147
0.000285,0,0.00031074,40,10.52909886
0.000286,0,0.000315239,40,10.56950278
0.000287,0,0.000319786,40,10.6098932
0.000288,0,0.000324383,40,10.65027015
0.000289,0,0.000329028,40,10.69063362
0.00029,0,0.000333722,40,10.73098363
0.000291,0,0.000338467,40,10.77132016
0.000292,0,0.000343261,40,10.81164324
0.000293,0,0.000348106,40,10.85195285
0.000294,0,0.000353002,40,10.89224902
0.000295,0,0.000357949,40,10.93253173
0.000296,0,0.000361495,40,10.92888675
0.000297,0,0.000365064,40,10.92524295
0.000298,0,0.000368656,40,10.92160033
0.000299,0,0.000372269,40,10.91795889
0.0003,0,0.000375906,40,10.91431864
0.000301,0,0.000379565,40,10.91067957
0.000302,0,0.000383247,40,10.90704168
0.000303,0,0.000386951,40,10.90340497
0.000304,0,0.000390677,40,10.89976945
0.000305,0,0.000394426,40,10.8961351
0.000306,0,0.000398197,40,10.89250194
0.000307,0,0.00040199,40,10.88886995
0.000308,0,0.000405806,40,10.88523915
0.000309,0,0.000411297,40,10.92552377
0.00031,0,0.000416843,40,10.96579495
0.000311,0,0.000422442,40,11.00605269
0.000312,0,0.000428097,40,11.046297
0.000313,0,0.000433806,40,11.08652787
0.000314,0,0.000439571,40,11.12674532
0.000315,0,0.000445392,40,11.16694934
0.000316,0,0.000451269,40,11.20713994
0.000317,0,0.000457203,40,11.24731713
0.000318,0,0.000463193,40,11.28748091
0.000319,0,0.000469241,40,11.32763128
0.00032,0,0.000475346,40,11.36776825
0.000321,0,0.00048151,40,11.40789182
0.000322,0,0.000487732,40,11.44800201
0.000323,0,0.000494012,40,11.4880988
0.000324,0,0.000500352,40,11.52818221
0.000325,0,0.000506751,40,11.56825223
0.000326,0,0.00051321,40,11.60830889
0.000327,0,0.00051973,40,11.64835217
0.000328,0,0.00052631,40,11.68838209
0.000329,0,0.000532951,40,11.72839864
0.00033,0,0.000539653,40,11.76840183
0.000331,0,0.000546417,40,11.80839167
0.000332,0,0.000553243,40,11.84836817
0.000333,0,0.000560132,40,11.88833131
0.000334,0,0.000567083,40,11.92828112
0.000335,0,0.000574098,40,11.96821759
0.000336,0,0.000581177,40,12.00814073
0.000337,0,0.000588319,40,12.04805054
0.000338,0,0.000595526,40,12.08794702
0.000339,0,0.000602798,40,12.12783019
0.00034,0,0.000610135,40,12.16770004
0.000341,0,0.000617538,40,12.20755659
0.000342,0,0.000625006,40,12.24739982
0.000343,0,0.000632541,40,12.28722976
0.000344,0,0.000640143,40,12.32704639
0.000345,0,0.000647812,40,12.36684974
0.000346,0,0.000655548,40,12.40663979
0.000347,0,0.000663353,40,12.44641656
0.000348,0,0.000671225,40,12.48618005
0.000349,0,0.000679167,40,12.52593027
0.00035,0,0.000687177,40,12.56566721
0.000351,0,0.000695257,40,12.60539089
0.000352,0,0.000703407,40,12.6451013
0.000353,0,0.000711628,40,12.68479846
0.000354,0,0.000719919,40,12.72448236
0.000355,0,0.000728281,40,12.76415301
0.000356,0,0.000736715,40,12.80381041
0.000357,0,0.000745221,40,12.84345457
0.000358,0,0.000753799,40,12.8830855
0.000359,0,0.00076245,40,12.92270319
0.00036,0,0.000771174,40,12.96230766
0.000361,0,0.000779972,40,13.0018989
0.000362,0,0.000788844,40,13.04147692
0.000363,0,0.00079779,40,13.08104172
0.000364,0,0.000806811,40,13.12059331
0.000365,0,0.000815908,40,13.1601317
0.000366,0,0.00082508,40,13.19965688
0.000367,0,0.000834328,40,13.23916887
0.000368,0,0.000843652,40,13.27866766
0.000369,0,0.000853054,40,13.31815326
0.00037,0,0.000862533,40,13.35762567
0.000371,0,0.000872089,40,13.39708491
0.000372,0,0.000881724,40,13.43653097
0.000373,0,0.000891438,40,13.47596385
0.000374,0,0.00090123,40,13.51538357
0.000375,0,0.000911102,40,13.55479012
0.000376,0,0.000921054,40,13.59418351
0.000377,0,0.000931086,40,13.63356374
0.000378,0,0.000941199,40,13.67293083
